id,source_id,name_ko,name_en,clinic_type,district,address_ko,phone,english_support,description_ko,description_en,is_approved,review_notes
4bf36c24-3b8f-5ba6-8e26-97ee9e420122,26518825,CNP차앤박피부과 도곡양재점,CNP Cha & Park Dermatology Clinic Dogok Yangjae Branch,dermatology,gangnam,서울 강남구 강남대로 248,02-3463-1140,none,CNP Cha & Park Dermatology Clinic Dogok Yangjae Branch provides customized solutions for various skin concerns. We offer professional consultations and a comfortable environment for international patients.,CNP Cha & Park Dermatology Clinic Dogok Yangjae Branch provides customized solutions for various skin concerns. We offer professional consultations and a comfortable environment for international patients.,TRUE,
b2007d25-44b0-5e9d-8455-95528d24a9f2,11687298,CNP차앤박피부과 압구정점,CNP CHA&PARK Dermatology Apgujeong Branch,dermatology,gangnam,서울 강남구 압구정로 168,02-515-2100,none,"CNP CHA&PARK Dermatology Apgujeong Branch offers customized solutions for all skin concerns. We provide expert consultations and convenient services for international visitors, ensuring a comfortable and satisfying experience.","CNP CHA&PARK Dermatology Apgujeong Branch offers customized solutions for all skin concerns. We provide expert consultations and convenient services for international visitors, ensuring a comfortable and satisfying experience.",TRUE,
e049d335-e9b2-5251-8906-f0fadf659f49,27294501,CNP차앤박피부과 양재점,CNP Cha & Park Dermatology Yangjae Branch,dermatology,gangnam,서울 강남구 강남대로 240,02-3463-2400,none,CNP Cha & Park Dermatology Yangjae Branch offers specialized dermatological care with CNP's systematic skincare programs. We also provide customized consultations and treatments for international patients.,CNP Cha & Park Dermatology Yangjae Branch offers specialized dermatological care with CNP's systematic skincare programs. We also provide customized consultations and treatments for international patients.,TRUE,
82f7a5eb-374c-5e22-a084-cdbbce3d15cf,8097835,이지함피부과 청담점,Lee Jiham Dermatology Clinic Cheongdam Branch,dermatology,gangnam,서울 강남구 봉은사로 302,02-596-3600,none,Lee Jiham Dermatology Clinic Cheongdam Branch offers tailored skincare solutions for international visitors. We provide healthy and beautiful skin through meticulous consultations and advanced equipment.,Lee Jiham Dermatology Clinic Cheongdam Branch offers tailored skincare solutions for international visitors. We provide healthy and beautiful skin through meticulous consultations and advanced equipment.,TRUE,
3f94d3d9-b8cc-5beb-a046-1e3f32c01dcf,252229372,모리스의원,Maurice Clinic,dermatology,gangnam,서울 강남구 강남대로 378,02-555-6231,none,"Maurice Clinic offers top-tier aesthetic treatments and a comfortable environment for international patients. From skin concerns to detailed cosmetic procedures, experience personalized solutions for your beauty needs.","Maurice Clinic offers top-tier aesthetic treatments and a comfortable environment for international patients. From skin concerns to detailed cosmetic procedures, experience personalized solutions for your beauty needs.",TRUE,
90c2f667-3ad9-521a-aa2a-fc9199c5799f,1276375751,압구정더모의원,Apgujeong Dermo Clinic,dermatology,gangnam,서울 강남구 논현로167길 16,02-540-8185,none,"Apgujeong Dermo Clinic offers personalized treatments and precise skin diagnosis for a comfortable and satisfying experience, even for foreign visitors. Discover professional solutions tailored to your specific skin concerns.","Apgujeong Dermo Clinic offers personalized treatments and precise skin diagnosis for a comfortable and satisfying experience, even for foreign visitors. Discover professional solutions tailored to your specific skin concerns.",TRUE,
f131288c-73de-5604-8936-f99e9e27e63f,291856368,엠레드의원,M Red Clinic,dermatology,gangnam,서울 강남구 삼성로 731,02-543-3110,none,M Red Clinic offers customized solutions for your skin concerns. Experience a comfortable environment and professional medical services designed for international patients.,M Red Clinic offers customized solutions for your skin concerns. Experience a comfortable environment and professional medical services designed for international patients.,TRUE,
5bef7a0c-fd2c-50ff-8a9e-210baceea606,12553420,예인피부과의원 선릉점,Yein Dermatology Clinic Seolleung Branch,dermatology,gangnam,서울 강남구 선릉로 510,080-557-4476,none,"Yein Dermatology Clinic Seolleung Branch offers meticulous care and treatments for satisfying results. We provide comfortable consultations for international patients, making your visit stress-free.","Yein Dermatology Clinic Seolleung Branch offers meticulous care and treatments for satisfying results. We provide comfortable consultations for international patients, making your visit stress-free.",TRUE,
d01825ca-2af5-56ba-ae27-0d78bcfaa128,292953408,삼성 밴스의원,Samsung Bance Clinic,dermatology,gangnam,서울 강남구 테헤란로 511,02-6956-0035,none,Samsung Bance Clinic offers specialized skin treatments and personalized consultations for international patients. Experience top-tier medical care in a comfortable and professional environment.,Samsung Bance Clinic offers specialized skin treatments and personalized consultations for international patients. Experience top-tier medical care in a comfortable and professional environment.,TRUE,
6205b848-c61a-5b60-b1d6-1827109bd15e,14855535,연세라미슈의원,Yonsei Lamiche Clinic,dermatology,gangnam,서울 강남구 남부순환로 2609,02-571-5657,none,"Yonsei Lamiche Clinic offers top-tier care in a comfortable setting, specializing in aesthetic treatments for international patients. From consultations to personalized procedures, discover the perfect solution for your beauty needs.","Yonsei Lamiche Clinic offers top-tier care in a comfortable setting, specializing in aesthetic treatments for international patients. From consultations to personalized procedures, discover the perfect solution for your beauty needs.",TRUE,
f15e4168-ed4f-5451-bcea-71daa5ed2730,1892958788,세라미크의원 강남,Ceramique Clinic Gangnam,dermatology,gangnam,서울 강남구 봉은사로2길 29,02-6205-3430,none,Ceramique Clinic Gangnam offers personalized solutions for all your skin concerns. We provide professional consultations and a comfortable environment for international patients.,Ceramique Clinic Gangnam offers personalized solutions for all your skin concerns. We provide professional consultations and a comfortable environment for international patients.,TRUE,
08fb2902-10cd-576a-947d-eb896f45ecf5,471153280,데이뷰의원 강남점,DayView Clinic Gangnam Branch,dermatology,gangnam,서울 강남구 강남대로 494,02-2138-2225,none,DayView Clinic Gangnam Branch offers personalized skincare treatments and comfortable services for international clients. Experience meticulous care and systematic management from our skilled medical professionals.,DayView Clinic Gangnam Branch offers personalized skincare treatments and comfortable services for international clients. Experience meticulous care and systematic management from our skilled medical professionals.,TRUE,
ef7b8220-e90f-5cbd-a0bd-92d4e2beb37c,998588887,예라인의원 압구정점,Yera Line Clinic Apgujeong Branch,dermatology,gangnam,서울 강남구 논현로 812,02-6951-0071,none,"Yera Line Clinic Apgujeong Branch is known for its delicate procedures and comfortable atmosphere, making it popular among foreign visitors. From personalized consultations to customized treatments, they offer total beauty solutions.","Yera Line Clinic Apgujeong Branch is known for its delicate procedures and comfortable atmosphere, making it popular among foreign visitors. From personalized consultations to customized treatments, they offer total beauty solutions.",TRUE,
3124c98d-359e-5271-a433-c8c765f7ce07,490420752,디오디피부과의원 청담,D.O.D Dermatology Clinic Cheongdam,dermatology,gangnam,서울 강남구 도산대로 423,02-6203-6263,none,"Specializing in detox, lifting, and anti-aging treatments, D.O.D Dermatology Clinic Cheongdam offers personalized consultations and a comfortable environment for international visitors. Experience healthy, beautiful skin!","Specializing in detox, lifting, and anti-aging treatments, D.O.D Dermatology Clinic Cheongdam offers personalized consultations and a comfortable environment for international visitors. Experience healthy, beautiful skin!",TRUE,
827d4fe6-8303-52fe-8a41-7e8b2c175989,953452565,상상의원 신사본점,Sangsang Clinic Sinsa Main Branch,dermatology,gangnam,서울 강남구 도산대로 131,1666-2727,none,"Sangsang Clinic Sinsa Main Branch offers personalized treatments in a comfortable atmosphere, making it a popular choice for international visitors. From addressing skin concerns to providing subtle aesthetic enhancements, they focus on natural beauty.","Sangsang Clinic Sinsa Main Branch offers personalized treatments in a comfortable atmosphere, making it a popular choice for international visitors. From addressing skin concerns to providing subtle aesthetic enhancements, they focus on natural beauty.",TRUE,
4c604001-8f79-5f33-b6f5-a03e4c2e3cf5,996135722,팽팽의원,PaengPaeng Clinic,dermatology,gangnam,서울 강남구 도산대로 121,1660-3300,none,PaengPaeng Clinic offers satisfying results with meticulous procedures and comfortable service by skilled medical professionals. We provide specialized consultation and personalized care for international patients.,PaengPaeng Clinic offers satisfying results with meticulous procedures and comfortable service by skilled medical professionals. We provide specialized consultation and personalized care for international patients.,TRUE,
2c6c2d46-0021-5e3b-af95-1b7e05282b8f,7938626,맥스웰피부과의원 강남점,Maxwell Dermatology Clinic Gangnam Branch,dermatology,gangnam,서울 강남구 테헤란로 120,02-566-5824,none,"Maxwell Dermatology Clinic Gangnam Branch specializes in customized consultations and treatments for international clients. We focus on resolving your skin concerns and ensuring a comfortable, satisfying experience.","Maxwell Dermatology Clinic Gangnam Branch specializes in customized consultations and treatments for international clients. We focus on resolving your skin concerns and ensuring a comfortable, satisfying experience.",TRUE,
f77f74b1-cadd-5ed8-8c4a-9949f9b07010,1218284157,더셀피부과의원 강남본점,The Cell Dermatology Clinic Gangnam Main Branch,dermatology,gangnam,서울 강남구 도곡로 228,02-568-1009,none,The Cell Dermatology Clinic Gangnam Main Branch offers tailored services for international clients. We provide solutions for various skin concerns and ensure a comfortable and safe treatment experience.,The Cell Dermatology Clinic Gangnam Main Branch offers tailored services for international clients. We provide solutions for various skin concerns and ensure a comfortable and safe treatment experience.,TRUE,
68c4e82f-6383-5c59-9ac9-055eb1d70a0c,12975266,함익병피부과의원,Dr. Ham Ik-byeong Dermatology Clinic,dermatology,gangnam,서울 강남구 도곡로 408,02-3454-0080,none,"Dr. Ham Ik-byeong Dermatology Clinic specializes in acne and skin disease treatments, as well as thorough skincare management. We also offer comfortable consultations for international patients.","Dr. Ham Ik-byeong Dermatology Clinic specializes in acne and skin disease treatments, as well as thorough skincare management. We also offer comfortable consultations for international patients.",TRUE,
435c34d2-3661-51e9-813f-917a923f5a9b,13502013,모델로피부과의원,Modelo Dermatology Clinic,dermatology,gangnam,서울 강남구 압구정로60길 21,02-591-5800,none,Modelo Dermatology Clinic offers tailored solutions for skin health and beauty. We provide a comfortable environment and expert medical services for international visitors.,Modelo Dermatology Clinic offers tailored solutions for skin health and beauty. We provide a comfortable environment and expert medical services for international visitors.,TRUE,
