id,source_id,name_ko,name_en,skin_types,skin_types_confidence,_expected_skin_types,concerns,concerns_confidence,_expected_concerns,description_ko,description_en,review_summary_ko,review_summary_en,_available_at,tags,is_approved,review_notes
63b172e3-9a2c-55e2-923c-1be91cd2a1a9,prod-innisfree-green-tea-seed-hyaluronic-cream,이니스프리 그린티 씨드 히알루로닉 크림,Innisfree Green Tea Seed Hyaluronic Cream,dry|combination|normal|sensitive,0.85,dry|combination|normal,dryness|redness|dullness,0.75,dryness|dullness,This cream combines Jeju green tea's deep hydration with hyaluronic acid's moisture boost. Its rich texture intensely hydrates the skin. Use as the final step in your morning and evening skincare routine.,This cream combines Jeju green tea's deep hydration with hyaluronic acid's moisture boost. Its rich texture intensely hydrates the skin. Use as the final step in your morning and evening skincare routine.,"Praised for its hydrating and refreshing feel! However, some users with dry skin find the moisturizing power insufficient. (AI-generated review summary)","Praised for its hydrating and refreshing feel! However, some users with dry skin find the moisturizing power insufficient. (AI-generated review summary)",olive_young|innisfree_store,budget:moderate,,
71a001ee-d4cf-5e7a-acea-004180630965,prod-laneige-water-sleeping-mask-ex,라네즈 워터 슬리핑 마스크 EX,Laneige Water Sleeping Mask EX,dry|combination|normal,0.9,dry|combination|normal|sensitive,dryness|dullness,0.85,dryness|dullness,"This overnight mask deeply hydrates skin while you sleep, leaving it refreshed and radiant. Experience enhanced moisturizing benefits for a revitalized complexion. Simply apply before bed and rinse off in the morning.","This overnight mask deeply hydrates skin while you sleep, leaving it refreshed and radiant. Experience enhanced moisturizing benefits for a revitalized complexion. Simply apply before bed and rinse off in the morning.","Users praise its hydrating and moisturizing effects. However, some find the fragrance polarizing. (AI Review Summary)","Users praise its hydrating and moisturizing effects. However, some find the fragrance polarizing. (AI Review Summary)",olive_young|chicor|laneige_store,budget:moderate,,
b90b6883-3b82-56cc-9051-df284207f4b0,prod-cosrx-advanced-snail-92-all-in-one-cream,코스알엑스 어드밴스드 스네일 92 올인원 크림,COSRX Advanced Snail 92 All in One Cream,dry|oily|combination|sensitive|normal,0.85,dry|combination|normal|sensitive,dryness|redness|dullness|uneven_tone,0.75,dryness|wrinkles|dullness,"This all-in-one cream, formulated with 92% snail secretion filtrate, provides rich nourishment and hydration to the skin. It absorbs quickly without stickiness, helping to strengthen the skin barrier and soothe irritation.","This all-in-one cream, formulated with 92% snail secretion filtrate, provides rich nourishment and hydration to the skin. It absorbs quickly without stickiness, helping to strengthen the skin barrier and soothe irritation.","AI analysis highlights its excellent moisturizing and soothing effects. However, those who dislike a slightly sticky feel might not prefer it. *This is an AI-generated review summary.","AI analysis highlights its excellent moisturizing and soothing effects. However, those who dislike a slightly sticky feel might not prefer it. *This is an AI-generated review summary.",olive_young|chicor,budget:moderate,,
fe8d801f-9660-5c12-acdd-94de0e54bae8,prod-torriden-dive-in-low-molecular-hyaluronic-acid-moisture-cream,토리든 다이브인 저분자 히알루론산 수분크림,Torriden Dive-In Low Molecular Hyaluronic Acid Cream,dry|sensitive|combination|oily|normal,0.95,dry|sensitive|normal,dryness|redness,0.85,dryness|redness,"This low-molecular hyaluronic acid cream deeply hydrates the skin. Its lightweight, non-sticky formula absorbs quickly, making it suitable for all skin types. Perfect for daily hydration.","This low-molecular hyaluronic acid cream deeply hydrates the skin. Its lightweight, non-sticky formula absorbs quickly, making it suitable for all skin types. Perfect for daily hydration.","Popular for its hydrating and refreshing feel! However, some users with dry skin find the moisturization insufficient. (AI-generated review summary)","Popular for its hydrating and refreshing feel! However, some users with dry skin find the moisturization insufficient. (AI-generated review summary)",olive_young|chicor,budget:moderate,,
7b70e8ad-ddce-5223-a533-4ac9571d5708,prod-drg-red-blemish-clear-soothing-cream,닥터지 레드 블레미쉬 클리어 수딩 크림,Dr.G Red Blemish Clear Soothing Cream,sensitive|oily|combination|dry|normal,0.95,sensitive|combination|oily,acne|redness|dryness,0.9,redness|acne|dryness,"Soothe sensitive skin with Dr.G Red Blemish Clear Soothing Cream! Enriched with 5-CICA Complex and Beta-Glucan, it strengthens the skin barrier and provides deep hydration. Gently calm irritated skin.","Soothe sensitive skin with Dr.G Red Blemish Clear Soothing Cream! Enriched with 5-CICA Complex and Beta-Glucan, it strengthens the skin barrier and provides deep hydration. Gently calm irritated skin.",👍Praised for its soothing effect and gentle formula. Some mention a slight stickiness. *This is an AI-generated review summary.,👍Praised for its soothing effect and gentle formula. Some mention a slight stickiness. *This is an AI-generated review summary.,olive_young|chicor,budget:moderate,,
3ea01e93-f3e9-5c30-a520-ba8f9e326c3d,prod-illiyoon-ceramide-ato-concentrate-cream,일리윤 세라마이드 아토 집중 수분 크림,illiYOON Ceramide Ato Concentrate Cream,dry|sensitive,0.95,dry|sensitive|normal,dryness|redness|eczema,0.9,dryness|eczema|redness,"illiYOON Ceramide Ato Concentrate Cream intensely hydrates sensitive, dry skin and strengthens the skin barrier. Infused with ceramide, it delivers deep moisturization without feeling sticky. Apply a moderate amount to cleansed skin every morning and evening.","illiYOON Ceramide Ato Concentrate Cream intensely hydrates sensitive, dry skin and strengthens the skin barrier. Infused with ceramide, it delivers deep moisturization without feeling sticky. Apply a moderate amount to cleansed skin every morning and evening.","Many users report improved skin barrier and excellent moisturization. However, some find it slightly oily. AI-generated review summary.","Many users report improved skin barrier and excellent moisturization. However, some find it slightly oily. AI-generated review summary.",olive_young|chicor,budget:budget,,
b5849788-fc44-5a53-b246-377af9be1dda,prod-sulwhasoo-concentrated-ginseng-renewing-cream,설화수 자음생크림,Sulwhasoo Concentrated Ginseng Renewing Cream,dry|normal|combination,0.9,dry|normal|combination,wrinkles|dryness|dullness|uneven_tone,0.85,wrinkles|dullness|dark_spots,"Sulwhasoo Concentrated Ginseng Renewing Cream revitalizes skin with potent ginseng energy, enhancing resilience and providing deep nourishment and elasticity. Apply gently as the last step of your skincare routine, morning and night.","Sulwhasoo Concentrated Ginseng Renewing Cream revitalizes skin with potent ginseng energy, enhancing resilience and providing deep nourishment and elasticity. Apply gently as the last step of your skincare routine, morning and night.","Rich in ginseng, this cream is praised for its nourishing and elasticity-boosting benefits. However, the price point is high. (AI-generated review summary)","Rich in ginseng, this cream is praised for its nourishing and elasticity-boosting benefits. However, the price point is high. (AI-generated review summary)",department_store|chicor,budget:luxury,,
9b56d848-5f22-5edc-966c-4afb2a3c19b4,prod-belif-the-true-cream-aqua-bomb,벨리프 더 트루 크림 아쿠아 밤,belif The True Cream Aqua Bomb,oily|combination|normal,0.95,oily|combination|normal,dryness|pores|dullness,0.8,dryness|pores,"This gel-cream moisturizer provides intense hydration for a healthy, dewy complexion. Its lightweight formula absorbs quickly, leaving skin feeling refreshed and soothed. Ideal for all skin types, especially those with oily or combination skin.","This gel-cream moisturizer provides intense hydration for a healthy, dewy complexion. Its lightweight formula absorbs quickly, leaving skin feeling refreshed and soothed. Ideal for all skin types, especially those with oily or combination skin.","👍 Lightweight & hydrating, absorbs quickly. Non-greasy finish. 👎 May not be moisturizing enough for very dry skin. AI-generated review summary.","👍 Lightweight & hydrating, absorbs quickly. Non-greasy finish. 👎 May not be moisturizing enough for very dry skin. AI-generated review summary.",olive_young|chicor|brand_store,budget:moderate,,
41bec45b-5a1f-5258-afd8-3c0c308ccee4,prod-round-lab-birch-juice-moisturizing-cream,라운드랩 자작나무 수분 크림,ROUND LAB Birch Juice Moisturizing Cream,dry|sensitive|normal|combination,0.95,dry|sensitive|normal,dryness|redness,0.85,dryness|redness,"Quench your skin's thirst with this hydrating moisturizer! Infused with birch sap, it deeply hydrates dry skin. Its refreshing finish makes it perfect for daily use.","Quench your skin's thirst with this hydrating moisturizer! Infused with birch sap, it deeply hydrates dry skin. Its refreshing finish makes it perfect for daily use.","Popular for its hydrating and refreshing feel! However, some users with very dry skin may find it not moisturizing enough. (AI-generated review summary)","Popular for its hydrating and refreshing feel! However, some users with very dry skin may find it not moisturizing enough. (AI-generated review summary)",olive_young|chicor,budget:moderate,,
40595ad4-b6d2-5f3d-96f0-730b906dd5ce,prod-isoi-bulgarian-rose-intensive-energizing-cream-ex,아이소이 불가리안 로즈 인텐시브 에너자이징 크림 EX,isoi Bulgarian Rose Intensive Energizing Cream EX,dry|sensitive|normal|combination,0.85,dry|normal|combination,dryness|redness|dullness|uneven_tone,0.75,wrinkles|dullness|dryness,"Recharge your skin with Bulgarian Rose oil and natural ingredients. This cream deeply moisturizes and boosts skin energy, leaving it revitalized and radiant. Perfect for tired skin seeking a healthy glow.","Recharge your skin with Bulgarian Rose oil and natural ingredients. This cream deeply moisturizes and boosts skin energy, leaving it revitalized and radiant. Perfect for tired skin seeking a healthy glow.","Positive reviews highlight its skin tone improvement and moisturizing benefits. However, some users may find the rose scent strong. *AI-generated review summary.","Positive reviews highlight its skin tone improvement and moisturizing benefits. However, some users may find the rose scent strong. *AI-generated review summary.",olive_young|chicor,budget:premium,,
