id,source_id,name_ko,name_en,suitable_skin_types,suitable_skin_types_confidence,target_concerns,target_concerns_confidence,duration_minutes,session_count,downtime_days,price_min,price_max,description_ko,description_en,precautions_ko,precautions_en,aftercare_ko,aftercare_en,is_approved,review_notes
f6b1933b-5e61-5f97-b97b-966bee02e6c4,treat-laser-toning,레이저 토닝,Laser Toning,normal|oily|combination|sensitive|dry,0.7,dark_spots|uneven_tone|sun_damage|dullness,0.9,30,5~10회 (1~2주 간격),1,50000,150000,"Laser Toning is a laser treatment to improve skin tone. It targets melanin pigments for a brighter, more even complexion with minimal downtime.","Laser Toning is a laser treatment to improve skin tone. It targets melanin pigments for a brighter, more even complexion with minimal downtime.","Consult your skin condition carefully before the procedure, noting a 1-3 day recovery period. If receiving treatment while traveling, minimize sun exposure and plan your schedule accordingly.","Consult your skin condition carefully before the procedure, noting a 1-3 day recovery period. If receiving treatment while traveling, minimize sun exposure and plan your schedule accordingly.","Apply sunscreen diligently after treatment, and avoid saunas, hot springs, and alcohol. Resume normal activities after a few days, and contact the clinic if redness or itching worsens.","Apply sunscreen diligently after treatment, and avoid saunas, hot springs, and alcohol. Resume normal activities after a few days, and contact the clinic if redness or itching worsens.",,
0722ebef-aa14-5d11-9eb8-21e21443f8ca,treat-pico-toning,피코 토닝,Pico Toning,normal|dry|oily|combination|sensitive,0.75,dark_spots|uneven_tone|sun_damage|dullness|redness,0.85,30,3~5회 (3~4주 간격),3,80000,200000,"Pico Toning selectively targets and breaks down pigments in the skin, effectively treating blemishes and uneven skin tone. This laser treatment boasts minimal discomfort, a short procedure time, and a quick return to daily activities.","Pico Toning selectively targets and breaks down pigments in the skin, effectively treating blemishes and uneven skin tone. This laser treatment boasts minimal discomfort, a short procedure time, and a quick return to daily activities.","Consult with a skincare professional to assess your skin condition before the procedure. Avoid Pico Toning if you have any active inflammation or infections. Expect a downtime of 1-3 days. If you're a tourist, schedule your treatment at least 3 days before any important events and minimize sun exposure.","Consult with a skincare professional to assess your skin condition before the procedure. Avoid Pico Toning if you have any active inflammation or infections. Expect a downtime of 1-3 days. If you're a tourist, schedule your treatment at least 3 days before any important events and minimize sun exposure.","Apply sunscreen diligently after the treatment and avoid saunas, hot springs, and alcohol. Redness and heat should subside within a few days. Consult with your doctor if you experience any unusual symptoms. You can resume normal activities immediately, but refrain from strenuous exercise.","Apply sunscreen diligently after the treatment and avoid saunas, hot springs, and alcohol. Redness and heat should subside within a few days. Consult with your doctor if you experience any unusual symptoms. You can resume normal activities immediately, but refrain from strenuous exercise.",,
f758bc6b-dd30-5826-996b-0c4d541a87fe,treat-picosure-laser,피코슈어 레이저,PicoSure Laser,dry|oily|combination|sensitive|normal,0.7,dark_spots|uneven_tone|sun_damage|wrinkles,0.85,30,3~5회 (3~4주 간격),2,150000,350000,"PicoSure Laser delivers rapid bursts of energy to effectively target and break down pigment. Expect improved skin tone, reduced blemishes, and a relatively short recovery period.","PicoSure Laser delivers rapid bursts of energy to effectively target and break down pigment. Expect improved skin tone, reduced blemishes, and a relatively short recovery period.","Prior to treatment, ensure your skin is thoroughly assessed and consult with your provider if pregnant or have specific medical conditions. Expect a downtime of 1-3 days, so schedule your treatment accordingly if you're a tourist. Avoid excessive sun exposure before and after the procedure.","Prior to treatment, ensure your skin is thoroughly assessed and consult with your provider if pregnant or have specific medical conditions. Expect a downtime of 1-3 days, so schedule your treatment accordingly if you're a tourist. Avoid excessive sun exposure before and after the procedure.","After treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol consumption. You can typically resume normal activities once swelling and redness subside. Seek immediate medical attention if any severe side effects occur. Extra careful aftercare is recommended while travelling.","After treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol consumption. You can typically resume normal activities once swelling and redness subside. Seek immediate medical attention if any severe side effects occur. Extra careful aftercare is recommended while travelling.",,
5ef4ba4f-7211-568d-9f81-7c61a6cbe8df,treat-fraxel-laser,프락셀 레이저,Fraxel Laser,normal|oily|combination,0.7,wrinkles|dark_spots|pores|uneven_tone|sun_damage|acne,0.8,60,3~5회 (4~6주 간격),7,200000,500000,"The Fraxel Laser stimulates collagen production to improve fine lines, scars, and skin tone. Redness and peeling may occur post-treatment, but recovery is typically within a few days. Experience smoother, healthier-looking skin!","The Fraxel Laser stimulates collagen production to improve fine lines, scars, and skin tone. Redness and peeling may occur post-treatment, but recovery is typically within a few days. Experience smoother, healthier-looking skin!","Consult your skin condition before treatment and expect a 1-3 day recovery period. If you're a tourist, schedule your treatment with enough buffer time, and minimize sun exposure. Avoid harsh scrubs before and after the procedure.","Consult your skin condition before treatment and expect a 5-7 days recovery period. If you're a tourist, schedule your treatment with enough buffer time, and minimize sun exposure. Avoid harsh scrubs before and after the procedure.","After the treatment, apply sunscreen diligently, and avoid saunas, hot springs, and alcohol. Light makeup can be applied once the redness and swelling subside. Focus on moisturizing your skin for soothing and contact your clinic if unusual symptoms occur.","After the treatment, apply sunscreen diligently, and avoid saunas, hot springs, and alcohol. Light makeup can be applied once the redness and swelling subside. Focus on moisturizing your skin for soothing and contact your clinic if unusual symptoms occur.",,
ad6301a3-2911-58c8-b9f0-8124826238e6,treat-co2-fractional-laser,CO2 프락셔널 레이저,CO2 Fractional Laser,oily|normal|combination,0.7,acne|wrinkles|dark_spots|pores|uneven_tone|sun_damage,0.95,45,1~3회 (6~8주 간격),14,200000,600000,"The CO2 Fractional Laser creates tiny perforations in the skin to stimulate collagen production. It's effective for acne scars, pores, and skin tone improvement, with some redness and scabbing after treatment. Recovery typically takes about a week.","The CO2 Fractional Laser creates tiny perforations in the skin to stimulate collagen production. It's effective for acne scars, pores, and skin tone improvement, with some redness and scabbing after treatment. Recovery typically takes about a week.","Consult with your doctor about your skin condition before treatment, and inform them if you are pregnant or taking any medications. Allow for 1-3 days of recovery time, factoring this into your travel plans. Avoid excessive sun exposure before and after the procedure.","Consult with your doctor about your skin condition before treatment, and inform them if you are pregnant or taking any medications. Allow for 7-14 days of recovery time, factoring this into your travel plans. Avoid excessive sun exposure before and after the procedure.","Apply sunscreen diligently after treatment and avoid saunas, hot springs, and alcohol. Let scabs fall off naturally and do not pick at them. If swelling or severe pain persists, seek medical attention. Light makeup is usually possible after about a week.","Apply sunscreen diligently after treatment and avoid saunas, hot springs, and alcohol. Let scabs fall off naturally and do not pick at them. If swelling or severe pain persists, seek medical attention. Light makeup is usually possible after about a week.",,
92315eab-0662-58f1-9fcf-419fc4d6266b,treat-genesis-laser,제네시스 레이저,Genesis Laser,normal|dry|oily|combination|sensitive,0.7,redness|wrinkles|pores|uneven_tone|sun_damage,0.8,30,3~5회 (2~4주 간격),0,50000,150000,"Genesis Laser stimulates collagen production to improve fine lines, redness, and pore size. This quick treatment offers immediate results in skin tone and elasticity with minimal downtime, allowing for a fast return to your daily routine.","Genesis Laser stimulates collagen production to improve fine lines, redness, and pore size. This quick treatment offers immediate results in skin tone and elasticity with minimal downtime, allowing for a fast return to your daily routine.","Avoid using harsh scrubs or prolonged sun exposure before your Genesis Laser treatment to minimize skin irritation. While downtime is minimal (typically 0-2 days), your skin may be sensitive. If you're visiting, schedule your treatment early in your trip and be extra diligent with sun protection.","Avoid using harsh scrubs or prolonged sun exposure before your Genesis Laser treatment to minimize skin irritation. While downtime is minimal (typically 0-2 days), your skin may be sensitive. If you're visiting, schedule your treatment early in your trip and be extra diligent with sun protection.","After your Genesis Laser treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol for a few days. Refrain from strenuous exercise. Contact the clinic if redness or heat persists, but most activities can be resumed the next day.","After your Genesis Laser treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol for a few days. Refrain from strenuous exercise. Contact the clinic if redness or heat persists, but most activities can be resumed the next day.",,
d5483e49-163d-5438-a098-c9525834cb27,treat-excel-v-laser,엑셀V 레이저,Excel V Laser,normal|combination|oily|sensitive,0.75,redness|dark_spots|uneven_tone|sun_damage,0.85,30,3~5회 (2~4주 간격),1,100000,250000,"The Excel V Laser uses multiple wavelengths to improve skin tone and vascular issues simultaneously. Expect brighter skin and reduced blemishes after the treatment, with swelling or redness subsiding within a few days.","The Excel V Laser uses multiple wavelengths to improve skin tone and vascular issues simultaneously. Expect brighter skin and reduced blemishes after the treatment, with swelling or redness subsiding within a few days.","Avoid excessive sun exposure for at least one week before the treatment. The Excel V Laser requires a 1-3 day recovery period, so please schedule your treatment with ample buffer time. Avoid activities that may irritate the treated area.","Avoid excessive sun exposure for at least one week before the treatment. The Excel V Laser requires a 1-3 day recovery period, so please schedule your treatment with ample buffer time. Avoid activities that may irritate the treated area.","Apply sunscreen diligently after the treatment and minimize direct sun exposure. Avoid alcohol, saunas, hot springs, and intense exercise for at least one week. Contact the clinic if redness or swelling worsens significantly.","Apply sunscreen diligently after the treatment and minimize direct sun exposure. Avoid alcohol, saunas, hot springs, and intense exercise for at least one week. Contact the clinic if redness or swelling worsens significantly.",,
5d15fb14-8c07-57db-9a0e-24ad9b242004,treat-clarity-laser,클라리티 레이저,Clarity Laser,normal|oily|combination|dry|sensitive,0.7,dark_spots|redness|pores|uneven_tone|sun_damage,0.8,30,3~5회 (2~4주 간격),1,80000,200000,"Clarity Laser selectively targets and destroys pigment within the skin, effectively improving blemishes, freckles, and age spots. Some redness may occur post-treatment, but it typically subsides quickly, allowing for a speedy recovery.","Clarity Laser selectively targets and destroys pigment within the skin, effectively improving blemishes, freckles, and age spots. Some redness may occur post-treatment, but it typically subsides quickly, allowing for a speedy recovery.","Avoid excessive sun exposure for two weeks prior to treatment. Expect a downtime of 1-3 days post-treatment. If you are a tourist, schedule your Clarity Laser appointment early in your trip to minimize sun exposure and avoid strenuous activities afterwards.","Avoid excessive sun exposure for two weeks prior to treatment. Expect a downtime of 1-3 days post-treatment. If you are a tourist, schedule your Clarity Laser appointment early in your trip to minimize sun exposure and avoid strenuous activities afterwards.","Apply sunscreen diligently after treatment and avoid direct sun exposure. Refrain from saunas, hot springs, and alcohol for a few days. Consult a professional immediately if you notice any unusual signs on your skin. Normal activities can usually resume within a week.","Apply sunscreen diligently after treatment and avoid direct sun exposure. Refrain from saunas, hot springs, and alcohol for a few days. Consult a professional immediately if you notice any unusual signs on your skin. Normal activities can usually resume within a week.",,
05af28bb-cb26-53e6-ba31-cfc88d6b0970,treat-ipl-phototherapy,IPL 광선 치료,IPL Light Therapy,normal|oily|combination|dry,0.7,dark_spots|redness|uneven_tone|sun_damage,0.85,40,3~5회 (3~4주 간격),1,60000,180000,"IPL Light Therapy uses broad-spectrum light to target pigment issues and improve skin tone. Expect some redness post-treatment that typically subsides within a few days, revealing overall skin texture improvement.","IPL Light Therapy uses broad-spectrum light to target pigment issues and improve skin tone. Expect some redness post-treatment that typically subsides within a few days, revealing overall skin texture improvement.","Avoid direct sun exposure for at least a week before your IPL treatment. Due to potential skin sensitivity, carefully plan your treatment date within your travel itinerary, allowing for a 1-3 day recovery period.","Avoid direct sun exposure for at least a week before your IPL treatment. Due to potential skin sensitivity, carefully plan your treatment date within your travel itinerary, allowing for a 1-3 day recovery period.","After your IPL treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. Light makeup is usually fine once redness subsides. Contact a professional immediately if any unusual symptoms appear.","After your IPL treatment, diligently apply sunscreen and avoid saunas, hot springs, and alcohol. Light makeup is usually fine once redness subsides. Contact a professional immediately if any unusual symptoms appear.",,
60fab3a9-dc22-59f9-abbf-edeeaec20a05,treat-ulthera-lifting,울쎄라 리프팅,Ultherapy Lifting,dry|oily|combination|sensitive|normal,0.7,wrinkles|pores|dullness,0.85,30,1~2회 (12~18개월 유지),2,500000,2000000,"Ultherapy Lifting uses focused ultrasound energy to stimulate collagen production deep within the skin, improving elasticity. Expect some initial redness or swelling, which typically subsides within a few days, revealing natural-looking lifting results.","Ultherapy Lifting uses focused ultrasound energy to stimulate collagen production deep within the skin, improving elasticity. Expect some initial redness or swelling, which typically subsides within a few days, revealing natural-looking lifting results.","Before treatment, ensure your skin is thoroughly assessed, and consult a professional if you have any inflammation or skin conditions. Ultherapy Lifting requires approximately 1-3 days of recovery, so plan your treatment accordingly. Avoid excessive sun exposure post-treatment, especially while traveling.","Before treatment, ensure your skin is thoroughly assessed, and consult a professional if you have any inflammation or skin conditions. Ultherapy Lifting requires approximately 1-2 days of recovery, so plan your treatment accordingly. Avoid excessive sun exposure post-treatment, especially while traveling.","For a few days post-treatment, avoid direct sun exposure, saunas, hot springs, and alcohol. Light makeup is usually fine the next day, but consult your doctor if redness or swelling worsens. You can resume normal activities almost immediately, but refrain from harsh activities until your skin is fully recovered.","For a few days post-treatment, avoid direct sun exposure, saunas, hot springs, and alcohol. Light makeup is usually fine the next day, but consult your doctor if redness or swelling worsens. You can resume normal activities almost immediately, but refrain from harsh activities until your skin is fully recovered.",,
