id,name_ko,name_en,brand,category,subcategory,budget_level,expected_skin_types,expected_concerns,available_at
prod-innisfree-green-tea-seed-hyaluronic-cream,이니스프리 그린티 씨드 히알루로닉 크림,Innisfree Green Tea Seed Hyaluronic Cream,Innisfree,skincare,moisturizer,moderate,dry|combination|normal,dryness|dullness,olive_young|innisfree_store
prod-laneige-water-sleeping-mask-ex,라네즈 워터 슬리핑 마스크 EX,Laneige Water Sleeping Mask EX,Laneige,skincare,moisturizer,moderate,dry|combination|normal|sensitive,dryness|dullness,olive_young|chicor|laneige_store
prod-cosrx-advanced-snail-92-all-in-one-cream,코스알엑스 어드밴스드 스네일 92 올인원 크림,COSRX Advanced Snail 92 All in One Cream,COSRX,skincare,moisturizer,moderate,dry|combination|normal|sensitive,dryness|wrinkles|dullness,olive_young|chicor
prod-torriden-dive-in-low-molecular-hyaluronic-acid-moisture-cream,토리든 다이브인 저분자 히알루론산 수분크림,Torriden DIVE-IN Low Molecular Hyaluronic Acid Moisture Cream,Torriden,skincare,moisturizer,moderate,dry|sensitive|normal,dryness|redness,olive_young|chicor
prod-drg-red-blemish-clear-soothing-cream,닥터지 레드 블레미쉬 클리어 수딩 크림,Dr.G Red Blemish Clear Soothing Cream,Dr.G,skincare,moisturizer,moderate,sensitive|combination|oily,redness|acne|dryness,olive_young|chicor
prod-illiyoon-ceramide-ato-concentrate-cream,일리윤 세라마이드 아토 집중 수분 크림,Illiyoon Ceramide Ato Concentrate Cream,Illiyoon,skincare,moisturizer,budget,dry|sensitive|normal,dryness|eczema|redness,olive_young|chicor
prod-sulwhasoo-concentrated-ginseng-renewing-cream,설화수 자음생크림,Sulwhasoo Concentrated Ginseng Renewing Cream,Sulwhasoo,skincare,moisturizer,luxury,dry|normal|combination,wrinkles|dullness|dark_spots,department_store|chicor
prod-belif-the-true-cream-aqua-bomb,벨리프 더 트루 크림 아쿠아 밤,belif The True Cream Aqua Bomb,belif,skincare,moisturizer,moderate,oily|combination|normal,dryness|pores,olive_young|chicor|brand_store
prod-round-lab-birch-juice-moisturizing-cream,라운드랩 자작나무 수분 크림,Round Lab Birch Juice Moisturizing Cream,Round Lab,skincare,moisturizer,moderate,dry|sensitive|normal,dryness|redness,olive_young|chicor
prod-isoi-bulgarian-rose-intensive-energizing-cream-ex,아이소이 불가리안 로즈 인텐시브 에너자이징 크림 EX,isoi Bulgarian Rose Intensive Energizing Cream EX,isoi,skincare,moisturizer,premium,dry|normal|combination,wrinkles|dullness|dryness,olive_young|chicor
