id,source_id,name_ko,name_en,store_type,district,address_ko,phone,english_support,tourist_services,description_ko,description_en,is_approved,review_notes
c5af9cfb-ebe7-5769-9950-438cbb566c04,23445796,올리브영 명동타운,,olive_young,myeongdong,서울 중구 명동길 53,1577-4887,,,"Olive Young Myeongdong Town is a flagship store where you can discover a wide range of K-beauty products. From trending new releases to popular bestsellers, enjoy a convenient and delightful shopping experience.","Olive Young Myeongdong Town is a flagship store where you can discover a wide range of K-beauty products. From trending new releases to popular bestsellers, enjoy a convenient and delightful shopping experience.",,
b68ad52c-398e-5299-b977-04d0e2be0f27,1940770088,올리브영 강남타운점,,olive_young,seocho,서울 서초구 강남대로 429,1577-4887,,,Olive Young Gangnam Town offers a wide selection of K-beauty products and the latest trends. Enjoy a comfortable shopping experience in a spacious environment and discover exclusive promotions and events.,Olive Young Gangnam Town offers a wide selection of K-beauty products and the latest trends. Enjoy a comfortable shopping experience in a spacious environment and discover exclusive promotions and events.,,
9351e98a-bd30-51ee-9d15-01f55e8f9d8b,20104962,올리브영 홍대입구역점,,olive_young,hongdae,서울 마포구 양화로 156,1577-4887,,,"Olive Young Hongdae Entrance offers a wide selection of K-beauty products. From trendy makeup to skincare, enjoy a delightful shopping experience.","Olive Young Hongdae Entrance offers a wide selection of K-beauty products. From trendy makeup to skincare, enjoy a delightful shopping experience.",,
a919413b-b2a3-51d6-82a7-fd20a3453e25,1287282217,올리브영 N성수,,olive_young,seongsu,서울 성동구 연무장7길 13,1577-4887,,,Olive Young N Seongsu offers a curated selection of trendy K-beauty products. Discover a wide range of brands and exclusive items for an enjoyable shopping experience.,Olive Young N Seongsu offers a curated selection of trendy K-beauty products. Discover a wide range of brands and exclusive items for an enjoyable shopping experience.,,
ea8e1b1c-929d-51a4-97f8-6073037b635c,13033016,올리브영 명동중앙점,,olive_young,myeongdong,서울 중구 명동8나길 18,1577-4887,,,"Olive Young Myeongdong Main Store is a leading destination for diverse K-beauty products. From trendy items to popular bestsellers, enjoy a convenient and delightful shopping experience.","Olive Young Myeongdong Main Store is a leading destination for diverse K-beauty products. From trendy items to popular bestsellers, enjoy a convenient and delightful shopping experience.",,
2a80301b-9146-5c54-a5c7-8dff9e872816,183300037,올리브영 신용산역점,,olive_young,itaewon,서울 용산구 한강대로 95,1577-4887,,,"Olive Young Shinyongsan Station offers a wide selection of K-beauty products and trendy cosmetics. Conveniently connected to Shinyongsan Station, it provides a pleasant and easily accessible shopping experience.","Olive Young Shinyongsan Station offers a wide selection of K-beauty products and trendy cosmetics. Conveniently connected to Shinyongsan Station, it provides a pleasant and easily accessible shopping experience.",,
3a2bf885-0291-5b2a-a505-9f7c381878cd,1226525024,올리브영 문정역점,,olive_young,jamsil,서울 송파구 송파대로 167,1577-4887,,,Olive Young Munjeong Station offers a wide selection of beauty products and trendy items. Enjoy a pleasant shopping experience in a convenient location and spacious store!,Olive Young Munjeong Station offers a wide selection of beauty products and trendy items. Enjoy a pleasant shopping experience in a convenient location and spacious store!,,
4107d9f1-f2c6-57ff-ba7b-de29a99f0534,11910225,올리브영 역삼점,,olive_young,gangnam,서울 강남구 테헤란로 111,1577-4887,,,"Olive Young Yeoksam offers a wide selection of popular K-beauty products. From trendy new items to bestsellers, enjoy a convenient and pleasant shopping experience.","Olive Young Yeoksam offers a wide selection of popular K-beauty products. From trendy new items to bestsellers, enjoy a convenient and pleasant shopping experience.",,
20ec73e2-0ab2-525e-be63-4a3570deff83,200330921,올리브영 홍대타운점,,olive_young,hongdae,서울 마포구 홍익로6길 57,1577-4887,,,"Olive Young Hongdae Town offers a wide selection of K-beauty products in the trendy Hongdae area. Enjoy a comfortable shopping experience in a spacious and pleasant environment, with a diverse range of popular and new products.","Olive Young Hongdae Town offers a wide selection of K-beauty products in the trendy Hongdae area. Enjoy a comfortable shopping experience in a spacious and pleasant environment, with a diverse range of popular and new products.",,
51ab56e5-7a4c-558f-8ec6-4abad488d22a,19729626,올리브영 종로1가점,,olive_young,jongno,서울 종로구 종로 19,1577-4887,,,"Olive Young Jongno 1ga is a great place to discover a wide range of K-beauty products. From trendy items to popular favorites, enjoy a convenient shopping experience!","Olive Young Jongno 1ga is a great place to discover a wide range of K-beauty products. From trendy items to popular favorites, enjoy a convenient shopping experience!",,
