id,source_id,name_ko,name_en,inci_name,function,function_confidence,caution_skin_types,caution_skin_types_confidence,is_approved,review_notes
dcaab478-9e74-5c69-8c64-74b89f866d8b,마데카소사이드,마데카소사이드,Madecassoside,Madecassoside,antioxidant|soothing|anti-inflammatory|skin strengthening,0.95,sensitive,0.7,TRUE,
088f665b-bba1-5c18-b4cd-f287bb273404,만델릭애씨드,만델릭애씨드,Mandelic Acid,Mandelic Acid,antimicrobial|exfoliation|skin smoothing|cell turnover,0.95,sensitive,0.8,TRUE,
1e08fb3c-9706-52e8-8bb0-38991ece2c0e,메틸파라벤,메틸파라벤,Methylparaben,Methylparaben,preservative|fragrance,0.95,sensitive,0.7,TRUE,
0c9c7311-355e-5f80-a519-adad494735dd,베타인,베타인,Betaine,Betaine,moisturizing|hydration|skin smoothing|antistatic,0.95,sensitive,0.6,TRUE,
f56d741c-2dfb-5eb0-b195-a7e11ea1ca77,병풀추출물,병풀추출물,Centella Asiatica Extract,Centella Asiatica Extract,soothing|anti-inflammatory|skin strengthening|healing,0.95,sensitive,0.7,TRUE,
6ce29637-1cc6-58de-a3b2-09c618612fb4,부틸렌글라이콜,부틸렌글라이콜,Butylene Glycol,Butylene Glycol,moisturizing|hydration|solvent|viscosity controlling,0.95,sensitive,0.7,TRUE,
e68172cd-bea2-5849-a7c5-9fb90084c878,글라이콜릭애씨드,글라이콜릭애씨드,Glycolic Acid,Glycolic Acid,exfoliation|skin smoothing|cell turnover|buffering,0.95,sensitive,0.85,TRUE,
0c682c87-5912-5b08-95c5-668b8634a362,비사보롤,비사보롤,Bisabolol,Bisabolol,soothing|skin conditioning|anti-inflammatory,0.95,sensitive,0.7,TRUE,
8a3f3a05-4e25-58c2-ab8f-1e9fe6318605,살리실릭애씨드,살리실릭애씨드,Salicylic Acid,Salicylic Acid,exfoliation|anti-seborrheic|hair conditioning|preservative,0.95,sensitive|dry,0.8,TRUE,
1c439e9c-9bca-5e07-874d-41aa9df9e1a6,글루타티온,글루타티온,Glutathione,Glutathione,brightening|antioxidant|tone-evening|tyrosinase inhibition,0.95,sensitive,0.6,TRUE,
4a3c7888-7091-523d-9540-3ec3682553ee,글리세린,글리세린,Glycerin,Glycerin,moisturizing|hydration|skin protecting|solvent|hair conditioning,0.95,sensitive,0.6,TRUE,
177c9f68-a3b4-54c8-b6a9-f541c3ce5690,소듐라우릴설페이트,소듐라우릴설페이트,Sodium Lauryl Sulfate,Sodium Lauryl Sulfate,cleansing|emulsifying|foaming,0.95,sensitive|dry,0.8,TRUE,
6171b8d7-08e8-57fd-8e42-9edbf029bda4,소듐하이알루로네이트,소듐하이알루로네이트,Sodium Hyaluronate,Sodium Hyaluronate,moisturizing|hydration|moisture retention|plumping|skin smoothing,0.95,sensitive,0.6,TRUE,
28430301-3c39-561f-b166-88291c640461,스쿠알란,스쿠알란,Squalane,Squalane,moisturizing|skin smoothing|emollient|barrier repair,0.95,,0.7,TRUE,
06a04231-c65a-589c-9a35-55f97081e846,아데노신,아데노신,Adenosine,Adenosine,anti-aging|anti-wrinkle|skin smoothing|cell energy,0.95,sensitive,0.6,TRUE,
27a190f4-6546-5a50-9ca9-525bd942ffda,아스코빅애씨드,아스코빅애씨드,Ascorbic Acid,Ascorbic Acid,antioxidant|skin conditioning|buffering|brightening,0.95,sensitive,0.75,TRUE,
edc1c6e6-b281-59b5-88df-9538ef2bead7,아스코빌글루코사이드,아스코빌글루코사이드,Ascorbyl Glucoside,Ascorbyl Glucoside,antioxidant|brightening|tone-evening|collagen-boosting,0.95,sensitive,0.6,TRUE,
fc060d92-163b-5fe1-9eef-562266e1d185,알란토인,알란토인,Allantoin,Allantoin,soothing|skin protecting|skin conditioning,0.95,sensitive,0.7,TRUE,
0f9feae3-c669-5886-ad6c-eae58b6caf38,꿀추출물,꿀추출물,Honey Extract,Honey Extract,moisturizing|hydration|humectant|skin smoothing,0.95,sensitive,0.7,TRUE,
5ac73685-6fc5-506c-acd8-f73f3497c23a,나이아신아마이드,나이아신아마이드,Niacinamide,Niacinamide,skin smoothing|tone-evening|brightening|anti-inflammatory,0.95,sensitive,0.7,TRUE,
20cb6680-a64e-5a2a-b17a-7436bb4f8f7c,인삼추출물,인삼추출물,Ginseng Extract,Panax Ginseng Root Extract,skin strengthening|skin conditioning|hair conditioning|antioxidant,0.95,sensitive,0.6,TRUE,
03a8979c-50be-5050-8b17-71608e08831f,녹차추출물,녹차추출물,Green Tea Extract,Camellia Sinensis Leaf Extract,antioxidant|soothing|skin protecting|astringent,0.95,sensitive,0.7,TRUE,
