id,name_ko,name_en,category,target_concerns,suitable_skin_types,price_min,price_max,downtime_days,duration_minutes,session_count
treat-laser-toning,레이저 토닝,Laser Toning,laser,dark_spots|uneven_tone,oily|combination|normal,50000,150000,1,30,"5~10회 (1~2주 간격)"
treat-pico-toning,피코 토닝,Pico Toning,laser,dark_spots|uneven_tone|pores,oily|combination|normal|sensitive,80000,200000,3,30,"3~5회 (3~4주 간격)"
treat-picosure-laser,피코슈어 레이저,PicoSure Laser,laser,dark_spots|uneven_tone|acne,oily|combination|normal,150000,350000,2,30,"3~5회 (3~4주 간격)"
treat-fraxel-laser,프락셀 레이저,Fraxel Laser,laser,acne|wrinkles|pores|dark_spots,oily|combination|normal,200000,500000,5,60,"3~5회 (4~6주 간격)"
treat-co2-fractional-laser,CO2 프락셔널 레이저,CO2 Fractional Laser,laser,acne|wrinkles|pores,oily|combination|normal,200000,600000,14,45,"1~3회 (6~8주 간격)"
treat-genesis-laser,제네시스 레이저,Genesis Laser,laser,redness|pores|dullness,sensitive|combination|normal,50000,150000,0,30,"3~5회 (2~4주 간격)"
treat-excel-v-laser,엑셀V 레이저,Excel V Laser,laser,redness|dark_spots|sun_damage,sensitive|normal|combination,100000,250000,1,30,"3~5회 (2~4주 간격)"
treat-clarity-laser,클라리티 레이저,Clarity Laser,laser,dullness|uneven_tone|sun_damage,normal|combination|oily,80000,200000,1,30,"3~5회 (2~4주 간격)"
treat-ipl-phototherapy,IPL 광선 치료,IPL Phototherapy,laser,dark_spots|redness|sun_damage,normal|combination,60000,180000,1,40,"3~5회 (3~4주 간격)"
treat-ulthera-lifting,울쎄라 리프팅,Ulthera Lifting,laser,wrinkles,dry|normal|combination,500000,2000000,0,30,"1~2회 (12~18개월 유지)"
treat-thermage-flx,써마지 FLX,Thermage FLX,laser,wrinkles|pores,dry|normal|combination|oily,500000,2500000,0,30,"1회 (12~24개월 유지)"
treat-shurink-universe,슈링크 유니버스,Shurink Universe,laser,wrinkles|pores,normal|combination|oily,200000,800000,0,30,"1~2회 (6~12개월 유지)"
treat-v-beam-laser,브이빔 레이저,V-Beam Laser,laser,redness|acne,sensitive|normal|combination,80000,200000,2,30,"3~5회 (2~4주 간격)"
treat-revlite-laser,레블라이트 레이저,RevLite Laser,laser,dark_spots|uneven_tone,normal|combination|oily,60000,180000,1,30,"5~10회 (1~2주 간격)"
treat-lutronic-hollywood-peel,루트로닉 할리우드 필링,Lutronic Hollywood Peel,laser,dullness|pores|uneven_tone,oily|combination|normal,100000,250000,0,30,"3~5회 (2~4주 간격)"
treat-aqua-peel,아쿠아필,Aqua Peel,skin,pores|dullness|acne|dryness,dry|oily|combination|sensitive|normal,50000,120000,0,30,"2~4주 간격 반복"
treat-salicylic-acid-peel,살리실산 필링,Salicylic Acid Peel,skin,acne|pores|dullness,oily|combination,30000,80000,2,30,"3~6회 (2~4주 간격)"
treat-brightening-peel,미백 필링,Brightening Peel,skin,dark_spots|dullness|uneven_tone,normal|combination|dry,50000,120000,3,30,"3~6회 (2~4주 간격)"
treat-lactic-acid-peel,젖산 필링,Lactic Acid Peel,skin,dullness|dryness|uneven_tone,dry|sensitive|normal,30000,80000,1,30,"3~6회 (2~4주 간격)"
treat-glutathione-whitening-treatment,글루타치온 화이트닝,Glutathione Whitening Treatment,skin,dullness|dark_spots|uneven_tone,dry|normal|combination|oily|sensitive,80000,200000,0,45,"1~2주 간격 반복"
treat-dermapen-microneedling-mts,더마펜 MTS,Dermapen Microneedling (MTS),skin,acne|wrinkles|pores|dark_spots,normal|combination|oily,100000,250000,5,60,"3~6회 (4주 간격)"
treat-rejuran-healer,리쥬란 힐러,Rejuran Healer,skin,wrinkles|dullness|pores,dry|normal|combination|sensitive,200000,400000,5,45,"3~4회 (2~4주 간격)"
treat-salmon-dna-injection-pdrn,연어주사 (PDRN),Salmon DNA Injection (PDRN),skin,wrinkles|dullness|dryness,dry|normal|sensitive,150000,350000,1,45,"3~4회 (2~4주 간격)"
treat-stem-cell-skin-rejuvenation,줄기세포 피부 재생,Stem Cell Skin Rejuvenation,skin,wrinkles|dullness|dryness,dry|normal|combination,200000,500000,2,45,"3~5회 (2~4주 간격)"
treat-ldm-ultrasound-moisturizing,LDM 초음파 보습,LDM Ultrasound Moisturizing,skin,dryness|dullness|redness,dry|sensitive|normal,50000,130000,0,45,"주 1~2회, 8~12회"
treat-botox-forehead,보톡스 이마,Botox Forehead,injection,wrinkles,dry|normal|combination|oily|sensitive,50000,150000,0,20,"3~6개월마다 반복"
treat-botox-crow-s-feet,보톡스 눈가,Botox Crow's Feet,injection,wrinkles,dry|normal|combination|oily|sensitive,50000,120000,0,20,"3~6개월마다 반복"
treat-botox-jawline-masseter,보톡스 턱 (사각턱),Botox Jawline (Masseter),injection,wrinkles,dry|normal|combination|oily|sensitive,80000,200000,0,20,"3~6개월마다 반복"
treat-filler-nasolabial-folds,필러 팔자주름,Filler Nasolabial Folds,injection,wrinkles,dry|normal|combination|oily|sensitive,200000,500000,5,30,"6~18개월마다 반복"
treat-lip-filler,필러 입술,Lip Filler,injection,wrinkles|dryness,dry|normal|combination|oily|sensitive,200000,500000,4,30,"6~18개월마다 반복"
